sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,590,1183,16338,-163,-122,33
1,614,1137,16307,-160,-111,22
2,600,1149,16312,-162,-132,22
3,606,1169,16349,-180,-106,28
4,620,1151,16315,-154,-99,40
5,609,1143,16297,-152,-120,33
6,592,1173,16271,-154,-128,18
7,579,1168,16304,-161,-124,17
8,633,1172,16298,-184,-126,25
9,621,1175,16291,-169,-122,36
10,605,1181,16282,-168,-121,41
11,624,1174,16309,-177,-113,46
12,594,1204,16343,-162,-128,30
13,594,1190,16318,-162,-121,19
14,606,1200,16267,-166,-147,33
15,597,1176,16300,-161,-140,56
16,598,1156,16329,-159,-125,27
17,593,1162,16261,-169,-159,22
18,607,1179,16286,-163,-149,9
19,638,1170,16290,-151,-97,18
20,634,1172,16308,-162,-96,27
21,617,1161,16304,-167,-115,56
22,608,1173,16313,-152,-118,23
23,604,1178,16320,-146,-151,30
24,612,1167,16302,-164,-129,39
25,572,1161,16292,-175,-124,42
26,630,1176,16285,-171,-102,27
27,609,1157,16293,-145,-107,36
28,618,1151,16279,-161,-132,41
29,611,1172,16318,-173,-131,31
30,609,1188,16308,-174,-118,36
31,590,1155,16303,-175,-112,28
32,590,1167,16304,-166,-131,26
33,610,1168,16324,-160,-120,-1
34,598,1179,16301,-147,-131,17
35,594,1194,16293,-187,-128,34
36,597,1178,16315,-193,-108,43
37,609,1175,16312,-171,-110,43
38,600,1171,16277,-182,-116,30
39,607,1170,16286,-194,-111,26
40,585,1179,16309,-147,-111,17
41,608,1172,16270,-165,-124,28
42,614,1206,16282,-171,-116,27
43,602,1201,16308,-162,-130,24
44,603,1151,16287,-153,-116,36
45,605,1183,16326,-162,-136,52
46,623,1214,16323,-168,-135,32
47,599,1193,16300,-150,-124,23
48,561,1153,16272,-147,-147,22
49,584,1177,16279,-160,-138,19
50,612,1199,16345,-145,-115,30
51,602,1168,16343,-161,-103,44
52,615,1162,16301,-154,-130,24
53,569,1200,16323,-171,-139,35
54,625,1193,16332,-182,-140,32
55,624,1131,16319,-176,-115,37
56,565,1168,16283,-171,-126,55
57,602,1194,16255,-172,-143,37
58,612,1181,16306,-173,-111,41
59,631,1152,16304,-172,-113,32
60,609,1177,16297,-150,-117,28
61,622,1192,16324,-163,-126,38
62,635,1185,16290,-149,-112,23
63,590,1165,16307,-157,-124,19
64,591,1181,16322,-180,-111,25
65,609,1168,16287,-173,-126,48
66,588,1175,16288,-159,-125,23
67,605,1183,16331,-179,-107,16
68,604,1191,16275,-139,-111,18
69,596,1151,16279,-146,-138,21
70,621,1155,16288,-165,-109,23
71,615,1183,16324,-189,-114,15
72,622,1173,16335,-165,-122,32
73,563,1181,16292,-165,-114,49
74,614,1163,16287,-176,-135,37
75,618,1164,16314,-158,-142,42
76,601,1179,16334,-178,-117,35
77,605,1198,16295,-137,-121,35
78,623,1169,16282,-153,-109,22
79,620,1157,16337,-157,-127,39
80,590,1186,16332,-175,-132,41
81,624,1168,16301,-162,-136,39
82,630,1216,16377,-160,-129,30
83,607,1209,16317,-173,-118,32
84,618,1176,16272,-175,-113,16
85,589,1175,16240,-169,-116,26
86,621,1206,16323,-175,-127,29
87,612,1201,16324,-150,-131,21
88,573,1158,16305,-139,-118,22
89,575,1181,16296,-156,-111,29
90,593,1194,16316,-163,-117,25
91,608,1203,16324,-165,-136,30
92,607,1175,16325,-153,-134,26
93,592,1168,16315,-168,-118,10
94,626,1194,16304,-149,-127,27
95,619,1175,16306,-161,-144,50
96,580,1193,16305,-170,-142,18
97,601,1199,16286,-178,-111,22
98,614,1185,16281,-159,-124,26
99,624,1159,16300,-157,-107,28
100,611,1147,16298,-169,-113,40
101,616,1172,16309,-167,-120,9
102,593,1195,16282,-167,-130,22
103,579,1173,16309,-170,-123,33
104,615,1184,16329,-174,-131,25
105,620,1180,16310,-166,-115,34
106,588,1185,16324,-177,-138,41
107,592,1200,16306,-191,-132,44
108,601,1168,16275,-176,-137,25
109,573,1173,16286,-163,-158,16
110,580,1155,16311,-140,-134,32
111,615,1158,16314,-167,-114,27
112,601,1189,16303,-167,-144,30
113,585,1180,16319,-147,-128,42
114,614,1176,16333,-165,-154,37
115,590,1175,16287,-193,-143,10
116,611,1164,16294,-175,-100,13
117,591,1206,16324,-161,-124,38
118,572,1170,16317,-178,-123,48
119,605,1170,16294,-174,-121,31
120,619,1158,16310,-174,-121,30
121,641,1162,16326,-150,-122,22
122,611,1163,16285,-185,-109,21
123,626,1214,16308,-157,-127,42
124,606,1198,16308,-151,-143,56
125,563,1188,16309,-174,-139,34
126,609,1201,16292,-163,-122,21
127,625,1171,16313,-145,-120,49
128,587,1182,16276,-161,-116,40
129,534,1146,16289,-181,-123,16
130,546,1186,16320,-158,-137,36
131,621,1196,16329,-157,-112,35
132,596,1153,16295,-148,-113,31
133,622,1157,16297,-157,-121,29
134,594,1182,16318,-177,-115,38
135,588,1195,16276,-164,-107,35
136,627,1186,16298,-178,-127,37
137,612,1176,16338,-158,-155,48
138,606,1192,16317,-167,-116,24
139,626,1175,16278,-188,-116,21
140,632,1167,16274,-153,-122,34
141,586,1212,16300,-136,-107,30
142,620,1223,16317,-152,-103,48
143,605,1177,16295,-171,-118,43
144,609,1183,16301,-182,-132,26
145,625,1199,16299,-174,-134,29
146,584,1191,16312,-163,-106,38
147,606,1160,16286,-171,-124,19
148,626,1180,16310,-162,-141,31
149,576,1193,16293,-149,-99,32
150,603,1200,16301,-150,-112,24
151,597,1168,16320,-167,-137,31
152,620,1172,16298,-190,-116,28
153,599,1170,16294,-151,-122,43
154,617,1164,16312,-158,-132,33
155,592,1170,16289,-180,-110,50
156,604,1167,16277,-171,-121,32
157,612,1179,16309,-160,-107,33
158,588,1177,16287,-147,-116,44
159,591,1207,16303,-153,-126,31
160,626,1197,16270,-134,-121,14
161,593,1187,16289,-168,-123,61
162,577,1180,16307,-165,-107,24
163,605,1189,16286,-154,-93,28
164,575,1193,16298,-167,-129,25
165,591,1159,16314,-144,-129,41
166,613,1155,16305,-147,-134,27
167,601,1157,16287,-153,-117,20
168,597,1198,16280,-179,-138,53
169,582,1212,16304,-163,-112,27
170,612,1172,16335,-186,-122,16
171,605,1195,16294,-179,-126,35
