sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,194,1385,16201,-19,-126,35
1,622,1742,16102,-102,-140,9
2,1191,975,16390,-326,-162,14
3,769,709,16407,-203,-153,67
4,177,1573,16107,31,-104,55
5,705,1755,16117,-164,-127,21
6,1140,742,16424,-347,-169,19
7,622,677,16408,-136,-127,56
8,280,1601,16180,38,-111,62
9,892,1795,16099,-161,-155,6
10,1228,737,16446,-354,-186,20
11,522,786,16361,-131,-140,60
12,256,1669,16109,14,-116,69
13,1009,1631,16256,-182,-142,19
14,1210,822,16401,-303,-169,15
15,510,861,16337,-123,-151,55
16,145,1738,16069,-20,-120,57
17,972,1456,16260,-244,-154,6
18,1179,725,16497,-333,-144,29
19,434,948,16282,-102,-117,69
20,253,1776,16127,4,-93,47
21,929,1458,16274,-239,-137,19
22,1155,565,16508,-324,-166,19
23,395,1041,16326,-66,-147,65
24,387,1931,15996,-17,-135,37
25,1011,1385,16250,-266,-164,3
26,998,484,16516,-331,-182,12
27,367,1046,16277,-50,-128,55
28,400,1931,16095,-34,-120,39
29,1041,1290,16315,-274,-167,-2
30,901,552,16466,-285,-162,36
31,222,1147,16247,-25,-115,70
32,598,1890,16128,-72,-119,14
33,1217,1247,16276,-305,-178,-7
34,956,597,16468,-258,-156,38
35,201,1261,16184,-25,-122,53
36,540,1827,16093,-73,-104,32
37,1296,1136,16356,-325,-154,2
38,865,620,16396,-230,-153,23
39,231,1395,16233,-12,-113,54
40,559,1737,16102,-109,-124,15
41,1260,1019,16355,-317,-179,15
42,790,652,16501,-247,-150,52
43,201,1564,16095,-12,-132,67
44,686,1736,16159,-141,-133,-1
45,1120,896,16418,-326,-138,12
46,748,674,16352,-192,-143,59
47,250,1594,16155,5,-129,45
48,785,1768,16110,-171,-137,10
49,1167,727,16476,-361,-167,21
50,564,816,16366,-136,-139,60
51,327,1570,16119,-3,-102,62
52,918,1705,16189,-196,-139,19
53,1172,708,16426,-364,-182,29
54,440,822,16344,-114,-139,63
55,161,1701,16057,-5,-111,45
56,1003,1596,16219,-204,-153,23
57,1210,708,16466,-339,-161,14
58,483,888,16346,-112,-138,54
59,167,1799,16091,-2,-127,46
60,1001,1425,16254,-254,-151,8
61,1203,623,16456,-343,-168,19
62,409,954,16295,-72,-120,68
63,282,1869,16065,-1,-103,59
64,944,1387,16230,-276,-148,-3
65,1056,504,16504,-333,-171,5
66,372,1067,16330,-67,-123,53
67,396,1818,16034,-6,-135,68
68,1110,1348,16283,-276,-178,13
69,979,504,16473,-315,-153,41
70,325,1116,16263,-24,-125,75
71,523,1860,16178,-49,-128,50
72,1180,1247,16268,-299,-190,12
73,907,626,16429,-247,-177,35
74,222,1213,16188,-18,-133,57
75,622,1821,16053,-63,-137,34
76,1235,1082,16385,-302,-173,-3
77,888,609,16433,-232,-172,22
78,163,1342,16180,-28,-132,64
79,535,1775,16146,-96,-129,19
80,1291,1001,16436,-313,-176,26
81,764,648,16493,-211,-157,59
82,174,1521,16153,16,-125,66
83,618,1723,16092,-136,-154,12
84,1225,884,16404,-360,-139,-10
85,746,712,16409,-183,-104,29
86,209,1620,16144,6,-133,54
87,773,1746,16161,-186,-158,28
88,1100,735,16411,-349,-160,5
89,609,721,16339,-150,-127,63
90,261,1551,16212,1,-104,56
91,858,1713,16155,-187,-145,6
92,1174,757,16475,-331,-175,21
93,492,818,16329,-122,-147,44
94,262,1624,16126,6,-97,48
95,1016,1592,16254,-194,-139,12
96,1192,715,16433,-336,-166,23
97,480,844,16415,-102,-141,73
98,236,1802,16051,-1,-92,45
99,1056,1459,16200,-232,-158,-9
100,1188,690,16519,-309,-178,23
101,416,955,16298,-81,-123,84
102,270,1806,16057,-28,-124,30
103,979,1377,16272,-272,-154,-24
104,1139,613,16479,-298,-148,20
105,340,1133,16274,-61,-88,57
106,362,1810,16051,-50,-111,36
107,1028,1319,16298,-278,-146,-15
108,982,547,16451,-299,-162,18
109,413,1161,16262,-26,-127,64
110,490,1853,16119,-50,-119,33
111,1147,1209,16304,-291,-192,18
112,879,532,16461,-283,-170,53
113,218,1249,16210,-19,-127,55
114,557,1872,16146,-83,-116,21
115,1177,1080,16264,-309,-165,1
116,866,613,16441,-236,-149,31
117,179,1322,16166,0,-114,57
118,635,1833,16051,-114,-117,27
119,1287,1060,16362,-352,-160,-5
120,823,598,16391,-233,-156,48
121,167,1475,16164,18,-117,53
122,583,1753,16084,-136,-141,18
123,1222,963,16424,-332,-142,19
124,709,627,16529,-198,-158,9
125,160,1568,16093,19,-124,34
126,713,1755,16125,-151,-134,31
127,1200,809,16441,-358,-151,15
128,727,711,16344,-174,-132,59
129,229,1561,16214,7,-150,60
130,816,1721,16103,-155,-165,-5
131,1156,774,16393,-325,-154,40
132,525,753,16317,-136,-146,56
133,290,1586,16180,24,-115,38
134,912,1628,16157,-191,-156,7
135,1198,723,16449,-353,-181,1
136,441,838,16339,-108,-135,43
137,233,1770,16087,-4,-95,54
138,1066,1490,16247,-244,-150,8
139,1153,681,16440,-324,-185,31
140,416,912,16317,-85,-126,64
141,205,1813,16040,-2,-98,30
142,1061,1439,16244,-260,-160,-13
143,1187,631,16444,-297,-171,16
144,375,1003,16262,-70,-140,71
145,360,1823,16099,-52,-118,64
146,1020,1334,16284,-255,-176,-3
147,1071,615,16439,-288,-161,34
148,334,1145,16273,-54,-137,60
149,379,1769,16020,-58,-134,39
150,1047,1242,16349,-259,-172,-3
151,910,544,16475,-276,-169,39
152,335,1179,16176,-30,-139,54
153,541,1852,16186,-69,-130,26
154,1188,1173,16303,-304,-186,11
155,895,635,16409,-244,-166,43
156,213,1283,16194,-6,-118,60
157,624,1832,16115,-83,-140,1
158,1160,1090,16339,-334,-143,8
159,877,619,16419,-219,-146,43
160,203,1342,16171,13,-104,79
161,551,1871,16032,-86,-131,40
162,1327,1058,16340,-331,-162,20
163,824,569,16425,-212,-151,14
164,226,1488,16183,20,-118,25
165,564,1782,16098,-136,-147,1
166,1212,923,16401,-343,-165,6
167,811,584,16480,-185,-149,52
168,175,1556,16107,31,-119,71
169,675,1704,16109,-153,-129,6
170,1147,847,16430,-344,-160,21
171,704,640,16429,-189,-135,68
172,244,1546,16231,12,-109,47
173,778,1790,16118,-153,-140,1
174,1230,811,16451,-335,-159,2
175,604,671,16403,-171,-149,43
